text,true_emotion,predicted_emotion
For the first time in my madden career I just set up a farm account. Should make MOTM much easier,anger,joy
#oow16 #sting decent new song,anger,joy
@danbloom1 beware the fury of a weak king,anger,anger
"Note to self ~ Stop laughing at things that offend you, it's ok to get mad at people \n#NoteToSelf #offended #mad #upset",anger,anger
S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait🙃,anger,anger
I wouldn't have #anger issues.....if she didn't have #lying issues.....think about that one. #pow #lies #confusion,anger,anger
@LeonWobYP b***er off. NCFC is a grudge match :),anger,anger
"@TrevorHMoore @paget_old In Scotland, the right-wingers are the most rabid anti-nationalists. Socialists are mostly in favour.",anger,anger
It's the most magical time of the year......Xmas party announced and the #outrage commences. Gotta love Silicon Valley millennials.,anger,anger
@isthataspider @dhodgs i will fight this guy! Don't insult the lions like that! But seriously they kinda are.Wasted some of the best players,anger,anger
Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison ,anger,anger
Eat my ass' is no longer an insult,anger,anger
"(Sam) Brown's Law: Never offend people with style when you can fake that, you have to break us in this Island.",anger,anger
"Anger, resentment, and hatred are the destroyer of your fortune today.'",anger,anger
@IllinoisLoyalty that Rutgers game was an abomination. An affront to God and man. We must never speak of it again.,anger,sadness
Having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy  #emotionalrollercoaster,anger,sadness
"@gayla_weeks1 I try not to let my anger seep into reviews, but I resent having my time wasted on books like that. Time is precious.",anger,anger
Everybody talking about 'the first day of fall' but summer '16 is never gonna die #revenge @Drake,anger,sadness
My eyes have been dilated. I hate the world right now with the rage of a thousand fiery dragons. I need a drink.,anger,anger
Having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy #angry #emotionalrollercoaster,anger,sadness
Trying to book holiday flights on @britishairways website is becoming a ,fear,fear
Bout ta get my @dontbreathe on up in here! @WarrenTheaters  #icantholdmybreaththatlong,fear,joy
So about 18mths ago i signed up to @Lumo_Energy for their @VirginAustralia / Velocity FF deal. 18 months in still no FF points ,fear,sadness
#Awareness seek #shelter .#Letgo Old #habit of chasing #desires resultin in #anger #fear #worry .#Choose #Satisfaction within #Peace #Relax,fear,fear
Staff on @ryainair FR1005. Asked for info and told to look online. You get what you pay for. #Ryanair @STN_Airport #Compensation #awful,fear,anger
I have been seeing terrible terrible prescriptions this week. What's going on?,fear,fear
When you're scared to press send #bgoodthepoet #PrayForMe #ThisIsAGodDream #career #help #fear #heart #HeartRacing,fear,fear
I don't want speak front to him #afraid #intimidate #nopanicattack,fear,fear
The moment you bring her to meet your best friend and you're nervous af! 😬😆  #thefriendtest,fear,fear
Southend players always haunt Man U,fear,anger
"@ccrago It was dreadful, even after he met the Catfish he still thought it was her!",fear,sadness
"@soozclifford Sure have... Sydney are too tough, too quick and their 'team' pressure is too much for the Cats to handle. Motlop/Cowan ",fear,sadness
@1johndes ball watching &amp; Rojo'd header was equally dreadful!!,fear,anger
"He called me fat, so I pushed him into the lockers then he threaten to sue me' 😂",fear,anger
"By officialy adopting #BurhanWani, a #Hizbul terrorist, #Pakistan n #NawazSharif hv md a cardinal mistake 2day tht'll haunt fr years. #UNGA",fear,anger
"@soozclifford Sure have... Sydney are too tough, too quick and their 'team' pressure is too much for the Cats to handle. Motlop/Cowan #timid",fear,sadness
"Really.....#Jumanji 2....w/ The Rock, Jack Black, and Kevin Hart...are you kidding me! WTF! #ThisIsATerribleIdea #horrible",fear,anger
It really is amazing the money they give to some of these QB's #nfl #texans #brock #terrible,fear,anger
"Gahh...BT, in queue for 30 minutes.. Now put through to BT Sport dept to cancel... back in a queue again... #shocking",fear,anger
"@AlaskaGurus @adventuretweets agreed! 😍 an awe to meet such beautiful, powerful animals.",fear,joy
@hesham786 that's the spirit #optimism,joy,joy
@GigaFag @pipertownsend_ snapchat new would beg to differ ,joy,joy
@GigaFag @pipertownsend_ snapchat new would beg to differ #optimism,joy,joy
@kwelbyroberts they will come and you will rejoice at their arrival.,joy,joy
Sioux Valley wins home competitive #cheer invite with a score of 158. ...Dell Rapids second at 138,joy,joy
How can l rule my mind !!!!!! \nIt's hilarious that you can't 😭😑😮,joy,sadness
@r0Ils ppl get triggered over u smiling they're irrelevant,joy,joy
It feels good to get outside for a minute and get some fresh air.  It's hard to stay cooped up inside all day #breezy,joy,joy
@tomlinmayniac starting my new challenge ! A glee poll every day !,joy,joy
"it gets better. without explanation; you just wake up one morning and you’re just happy, totally and utterly elated.",joy,joy
"@theclobra lol I thought maybe, couldn't decide if there was levity or not",joy,sadness
i was so embarrassed when she saw us i was like knvfkkjg she thinks we're stalkers n then she starts waving all cheerfully inviting us in 😩,joy,fear
@GameGrumps THANK YOU SO MUCH FOR COMING TO DETROIT I'm going to sob joyful rainbows now brb,joy,joy
"I'm absolutely in love with Laurie Hernandez, she's so adorable and is always so cheerful!",joy,joy
"A cheerful heart is good medicine, but a broken spirit saps a person's strength.' {Proverbs 17:22} #WednesdayWisdom",joy,joy
@harrietemmett great minds think alike. #rejoice,joy,joy
@bruins_514 @gorddownie @thehipdotcom It would be #TragicallyHip if they can #help @TOYSFORASMILE make #hospitalized  #sick #kids #smile 😊✌❤,joy,joy
incredible that anthony weiner has been caught chasing a busty milkmaid across a park at double speed while jaunty music plays,joy,joy
"@PhilGlutting Hey There Phil Glutting thank you for following us, it's appreciated :) ",joy,joy
"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.",joy,anger
